# {"t_start": 1604759521.9819155, "env_id": "BallBalancerSim-v0"} 
r,l,t
222.698224,650,0.340606
160.95298,561,0.591896
193.891604,706,0.918059
129.635657,588,1.178957
148.313927,600,1.455742
258.684315,583,1.72529
143.55785,520,1.958641
135.511502,543,2.216949
237.678545,535,2.442346
346.391404,777,2.788927
201.069763,738,3.109794
234.941832,641,3.375616
138.10846,634,3.640913
246.684971,671,3.944583
140.609197,548,4.208402
152.812151,575,4.505105
165.165461,630,6.065627
114.772875,474,6.255957
84.164151,378,6.421984
441.656778,975,6.860847
249.578781,715,7.161012
113.532096,667,7.438797
428.363038,987,7.89374
154.432067,526,8.147061
256.578725,637,8.459749
231.323738,726,8.842724
65.486911,342,9.020356
446.966085,1000,9.478736
132.526861,431,9.702138
164.372147,578,9.995331
123.080009,545,10.268599
414.712443,1000,12.612295
239.096618,646,12.890551
163.632795,687,13.182734
188.275041,601,13.435059
132.870645,553,13.665482
238.68606,816,14.018043
124.122263,507,14.225095
202.489459,714,14.54823
271.230052,1000,14.970103
179.293164,798,15.310196
277.848203,1000,15.721674
202.349132,817,16.054949
573.642184,1000,18.319768
262.304542,962,18.731634
241.32674,1000,19.149557
197.005564,831,19.500255
593.728854,1000,19.929896
539.579032,1000,20.349773
245.772309,896,20.715796
313.758906,1000,21.137591
325.984442,1000,21.556112
167.1031,717,21.861296
624.364786,1000,24.157191
593.064909,1000,24.62749
383.498213,1000,25.052049
367.062608,1000,25.467152
318.526036,1000,25.887027
403.020666,1000,26.299533
365.233387,1000,26.729164
374.47764,1000,27.143058
331.060078,1000,27.54602
328.48721,1000,28.0841
186.460845,704,29.845574
176.006601,538,30.104153
325.289465,1000,30.52706
603.872988,1000,30.929986
245.71205,796,31.269657
274.451837,1000,31.690572
251.500091,928,32.068561
198.608014,606,32.326871
205.445665,831,32.67498
402.527632,1000,33.08305
253.084265,873,33.52441
163.152715,624,33.854746
143.711337,1000,35.904073
306.491014,853,36.27907
163.76838,754,36.647053
202.430661,784,37.02604
334.732782,1000,37.526036
461.569473,1000,38.052594
272.846348,1000,38.634043
264.599834,859,39.195124
402.535556,1000,39.692793
146.018017,1000,40.190857
358.212211,1000,42.692537
186.60325,667,42.987782
270.739572,881,43.44652
129.963393,767,43.819295
310.847428,1000,44.249963
264.423667,1000,44.761102
536.917138,1000,45.212453
194.173354,1000,45.637935
119.572199,746,45.94907
187.821154,1000,46.351069
435.94289,1000,48.698996
312.572883,1000,49.502866
221.128683,1000,50.425916
518.236134,1000,50.958796
473.862412,1000,51.429536
231.473753,867,51.862539
317.569185,1000,52.380283
247.542767,1000,52.915881
291.331898,1000,53.384492
596.719145,1000,53.824449
98.007158,307,55.354903
312.185019,1000,55.824681
546.558908,1000,56.240112
212.753358,795,56.565804
477.733704,1000,56.99255
220.948475,473,57.18483
455.196863,1000,57.594704
499.924378,1000,58.074027
301.396055,1000,58.568696
342.005661,1000,58.997089
