# {"t_start": 1604712404.5037315, "env_id": "CartpoleSwingShort-v0"} 
r,l,t
0.24279,10000,6.482593
0.201361,10000,14.094251
14.320951,10000,21.924124
42.737898,10000,29.568116
60.534167,7150,35.682262
57.620789,9072,44.462019
43.539114,4162,50.275721
46.527731,5603,53.764022
73.841025,4945,58.676356
62.213605,4672,61.643618
122.08843,6772,67.472688
76.515626,4329,73.554914
70.58269,4037,75.936786
80.005649,3576,80.924048
70.949107,2720,82.755814
80.529423,3061,84.519646
77.575034,3005,88.421325
67.434017,3428,90.448967
74.447526,3074,92.143485
116.533836,3045,95.994573
138.977441,3492,98.070925
162.870992,3546,104.062144
159.800054,3893,106.343933
261.881991,4950,112.484787
198.009633,4415,114.950156
280.472725,4431,119.706786
296.919863,4471,122.442048
496.377869,5882,128.185261
466.384032,5494,135.36297
880.747251,10000,145.462958
403.697713,5864,150.678043
531.279244,7253,159.141543
376.164332,4938,165.332257
468.398185,4469,172.568343
369.643809,4571,175.225299
549.545564,4636,179.930566
535.940649,4977,182.676266
474.289691,4129,186.745289
423.881824,3553,188.816972
500.862701,5379,194.917493
478.097666,3977,197.271842
379.30394,3660,201.552979
342.352846,3918,203.793854
320.81159,3510,208.6373
343.0533,3072,210.647959
340.03582,3033,216.183914
330.104012,3075,217.858977
318.482456,3467,219.934409
382.065551,3158,223.536214
379.815405,3455,225.503306
424.942593,3109,227.271082
441.037532,3540,231.152703
484.155963,3556,233.331542
710.626641,4001,238.927725
596.145439,3901,241.101463
578.58648,3940,246.165072
826.599509,4581,248.827567
596.630577,4031,253.787576
574.294482,3986,256.104085
560.097971,3928,261.244975
500.740128,3876,263.547858
873.968657,4305,269.106043
773.346092,4379,271.619858
778.576728,4081,276.742086
722.560995,4094,279.383984
889.536714,4448,284.549647
999.198522,4847,287.415736
1078.78244,4523,292.04091
1031.294046,4881,299.564268
1150.530304,4937,302.377034
1313.367829,5697,307.1891
1383.947053,5263,314.384557
1245.311885,5045,321.510848
2925.513389,7970,330.683026
1698.171336,5755,336.882412
1429.802375,5585,344.735991
1291.465018,4706,351.636055
1232.273067,4941,354.469799
1760.629591,5975,359.918938
1156.368446,5069,366.869734
1581.214758,5548,374.512707
2104.459336,6577,382.55565
2817.407065,7596,390.481045
3132.827758,7815,398.141354
3606.323877,8165,406.645044
4001.791107,7759,415.209052
3869.673663,6823,421.843908
3885.418141,7018,429.304085
3589.317341,6793,436.484508
3236.8867,6146,443.76986
2909.590097,5698,451.356605
2560.437301,6398,459.700063
2544.667008,5815,467.291923
2874.07789,6628,476.888547
3594.596905,5605,484.290486
3675.614303,6179,492.092476
4145.787778,6486,499.70214
2794.514661,5350,506.520257
2754.680785,5389,513.960228
2769.927468,5532,522.031756
2513.214125,4876,529.726075
2406.692726,4829,537.850325
2720.740578,5119,546.066356
5137.824948,7318,555.006307
2313.231442,4613,561.704421
2543.638875,4640,564.859552
2489.414084,5080,569.992173
3970.812997,6280,577.98246
3547.552096,5760,585.271117
1835.035604,4265,592.117218
1981.258544,4652,599.847487
2972.820099,5727,608.395067
1706.193486,3859,614.921904
1766.479084,4392,617.542219
1801.681934,4814,623.238363
2987.577938,6322,632.224363
3228.951088,5582,639.547738
2373.07443,4430,646.479276
3965.51474,6137,654.862545
3685.537281,6149,663.198182
2162.239978,3996,670.051045
2272.68086,4398,673.09727
3674.534908,6252,679.503002
1471.278291,3656,685.400407
2248.407886,4546,688.196021
6914.772556,10000,696.870497
7134.547922,10000,704.463603
5444.510209,7763,710.521885
7532.461139,10000,719.841747
3452.98703,5688,725.049397
1803.131616,4096,727.420674
7647.728134,10000,735.401843
4891.095972,7241,741.690767
7679.650932,10000,750.982171
7787.902407,10000,758.415626
6857.738298,9024,765.306923
5364.007252,7628,771.997098
7175.969828,10000,781.23664
6421.739363,9559,788.616247
7698.662048,10000,796.634369
1262.692251,4125,801.169164
4720.957713,7099,811.396679
7156.678212,10000,821.279819
7325.670996,10000,829.529368
6869.924256,10000,837.321449
7626.812419,10000,845.192255
7196.299984,10000,852.853245
7423.784127,10000,861.129012
6746.589967,10000,868.730479
7450.968192,10000,877.045211
6634.34206,10000,885.232086
7097.566093,10000,893.914881
6758.567597,10000,902.42659
7027.822298,10000,910.532619
7221.349558,10000,919.72696
7403.193401,10000,927.745341
7337.853952,10000,936.778081
6184.633139,10000,945.335517
7786.778242,10000,953.781329
7179.313135,10000,962.644903
7258.860656,10000,971.219707
7436.034865,10000,979.540173
7697.126754,10000,987.330915
7390.188098,10000,995.208547
7670.970716,10000,1003.99252
7178.578333,10000,1011.75706
8140.73721,10000,1019.015867
7953.643358,10000,1026.342432
8093.353008,10000,1033.992919
7329.795294,10000,1042.173367
7510.095842,10000,1049.810821
7637.940413,10000,1058.333167
8179.382093,10000,1067.144641
7400.201081,10000,1075.158042
8073.018295,10000,1083.326513
8038.565119,10000,1090.961706
7957.872088,10000,1098.986326
8190.141159,10000,1107.177294
8176.037642,10000,1115.145537
8283.421572,10000,1123.911544
8322.904663,10000,1133.908572
8648.340025,10000,1142.538508
8191.651959,10000,1150.379775
8298.539623,10000,1157.898245
8112.989048,10000,1165.69402
8337.303489,10000,1173.009527
8291.710727,10000,1180.505343
8159.609322,10000,1188.053877
7773.820969,10000,1195.282501
7953.178564,10000,1203.712058
8067.813377,10000,1211.242468
8014.891449,10000,1218.693171
7975.895417,10000,1227.353547
7953.492635,10000,1235.67998
7736.69882,10000,1242.856094
7851.059933,10000,1250.219963
8117.471348,10000,1257.830094
7914.116608,10000,1266.666979
7889.771737,10000,1274.596581
8406.936467,10000,1282.041848
8283.869555,10000,1289.377671
8192.014971,10000,1296.555826
8060.775545,10000,1303.674883
7449.008125,10000,1310.810832
7857.358559,10000,1318.788873
8262.178624,10000,1326.406852
8173.499018,10000,1333.56319
8159.143307,10000,1339.974864
8166.064543,10000,1346.800283
8204.922844,10000,1352.963454
8227.235297,10000,1360.098184
8203.267769,10000,1366.489292
8068.153075,10000,1372.796813
7388.743666,10000,1379.349371
7954.84326,10000,1385.898987
8319.68584,10000,1392.280395
8142.136589,10000,1399.373488
7831.472152,10000,1405.858067
8164.257836,10000,1412.202419
8336.272993,10000,1418.0462
8291.934785,10000,1424.500039
8348.709012,10000,1430.738852
8129.595384,10000,1436.710164
8359.885685,10000,1442.587894
8092.574453,10000,1448.692496
8560.105985,10000,1454.809224
8622.63358,10000,1461.310612
8609.536458,10000,1467.607698
8474.868755,10000,1474.877696
8690.997335,10000,1481.394158
8764.201471,10000,1487.952741
8754.054953,10000,1494.759356
8588.735253,10000,1501.740654
8552.472621,10000,1507.995347
8630.317081,10000,1514.507627
8751.9011,10000,1521.983217
8780.604688,10000,1529.656084
8749.855611,10000,1536.279506
8729.403041,10000,1542.865207
8892.980013,10000,1549.859837
8713.685496,10000,1556.510169
8757.268676,10000,1563.05773
8835.719874,10000,1569.300499
8827.924188,10000,1576.665157
8795.903586,10000,1583.642737
8825.752003,10000,1590.626377
8890.444035,10000,1598.549204
9083.934061,10000,1606.466336
9098.544643,10000,1614.444918
9097.184641,10000,1621.577839
9108.352072,10000,1628.241787
9129.270768,10000,1635.226206
9162.369238,10000,1642.216814
9112.293489,10000,1649.203006
9110.784723,10000,1655.334822
9240.35777,10000,1662.768345
9305.941946,10000,1669.834872
9219.086407,10000,1676.579052
9272.097649,10000,1683.045
9271.957966,10000,1689.287509
9294.560291,10000,1695.270384
9280.575355,10000,1702.19372
9198.607257,10000,1708.256366
9160.447086,10000,1714.875142
9195.003825,10000,1721.080048
9353.386252,10000,1729.051804
9186.983071,10000,1735.50662
9439.249391,10000,1742.634485
9304.407401,10000,1748.538474
9342.145717,10000,1755.555836
9277.592866,10000,1761.552603
9313.127122,10000,1768.252167
9261.468634,10000,1774.810085
9693.027913,10000,1781.761651
9657.240199,10000,1788.585922
9596.930089,10000,1797.081327
