# {"t_start": 1604679538.9705229, "env_id": "Qube-100-v0"} 
r,l,t
0.001433,600,0.474942
0.001202,600,0.923759
0.001355,600,1.509228
0.000835,600,2.003152
0.000724,600,2.467053
0.000934,600,2.963493
0.000462,600,3.42622
0.000947,600,3.86655
0.000615,600,4.268531
0.000407,600,4.703386
0.001994,600,5.113304
0.002013,600,5.535216
0.001224,600,5.948127
0.00077,600,6.42586
0.000653,600,6.865714
0.000863,600,7.298122
0.000858,600,9.126787
0.001939,600,9.563161
0.005471,600,9.982705
0.000568,600,10.392168
0.004295,600,10.806615
0.001381,600,11.215032
0.003708,600,11.638897
0.001628,600,12.041845
0.004756,600,12.477316
0.002125,600,12.877241
0.003262,600,13.285152
0.000874,600,13.765377
0.003953,600,14.182906
0.00195,600,14.592257
0.009153,600,15.020157
0.002139,600,15.472611
0.004938,600,17.353816
0.075413,557,17.750273
0.028029,581,18.129817
0.001149,600,18.647435
0.006434,600,19.067822
0.000705,600,19.492229
0.001169,600,19.913611
0.004466,600,20.324479
0.00078,600,20.808188
0.000777,600,21.295837
0.009628,600,21.740647
0.016843,600,22.219112
0.0037,600,22.680894
0.001955,600,23.101826
0.011863,600,23.614443
0.002508,600,24.13456
0.000525,600,26.061002
0.011825,600,26.517461
0.009046,600,26.971248
0.002862,600,27.427028
0.006047,600,27.872874
0.004825,600,28.350106
0.024877,553,28.742058
0.000774,600,29.151969
0.0008,600,29.644718
0.030784,458,29.969207
0.035959,600,30.384605
0.025519,600,30.799497
0.040507,600,31.191505
0.002313,600,31.679234
0.001243,600,32.107091
0.040158,600,32.540461
0.004196,600,34.564843
0.106978,600,35.031142
0.105594,600,35.458502
0.002183,600,35.865412
0.001341,600,36.254878
0.002179,600,36.692722
0.166313,600,37.07804
0.001177,600,37.47298
0.117076,600,37.873415
0.092417,600,38.273353
0.119824,600,38.75089
0.002486,600,39.172761
0.003227,600,39.60163
0.00144,600,40.029491
0.001598,600,40.433939
0.195674,600,40.851859
0.000601,600,43.205238
0.000813,600,43.637135
0.00049,600,44.065471
0.000439,600,44.538206
0.018171,356,44.805051
0.368526,600,45.226135
0.000644,600,45.648509
0.027415,552,46.042455
0.001435,600,46.508662
0.014397,310,46.721639
0.005985,253,46.884734
0.001758,600,47.303613
0.00097,600,47.710526
0.000661,600,48.122929
0.00059,600,48.564815
0.00048,600,48.97028
0.132622,600,49.373241
0.110611,593,49.775907
0.00054,600,51.405796
0.116079,600,51.80411
0.003941,600,52.224985
0.000966,600,52.659329
0.000997,600,53.077757
0.33979,600,53.483652
0.154387,600,53.899563
0.000833,600,54.319441
0.001667,600,54.740316
0.483044,568,55.115321
0.000517,600,55.544173
0.0008,600,55.954075
0.000519,600,56.348023
0.50219,600,56.741483
0.045301,321,56.965396
0.000957,600,57.377871
0.000514,600,57.799264
0.008839,185,59.070918
0.000905,600,59.513261
0.000694,600,59.918182
0.004532,600,60.32154
0.029681,298,60.531487
0.451544,600,60.951369
0.001427,600,61.369397
0.318681,491,61.688014
0.404129,600,62.082987
0.296389,488,62.413249
0.005436,600,62.809195
0.016657,186,62.930891
0.121706,600,63.330833
0.00117,600,63.771654
0.009511,199,63.904299
0.000455,600,64.314289
0.421394,465,64.629447
0.000593,600,65.046853
0.000816,600,65.473711
0.000547,600,67.319304
0.000729,600,67.75071
0.000747,600,68.138743
0.368093,420,68.435396
0.009391,188,68.575021
0.00086,600,68.997398
0.299275,346,69.250758
0.006198,600,69.674955
0.014487,368,69.913824
0.285154,477,70.226008
0.000511,600,70.644887
0.001343,600,71.069261
0.176103,310,71.269725
0.000565,600,71.681202
0.004367,190,71.819303
0.27503,346,72.046693
0.562175,501,72.401781
0.35829,403,72.675013
0.025329,248,72.835101
0.008833,197,72.971738
0.011784,191,73.121338
0.000481,600,73.509806
0.327275,421,75.201319
0.186748,338,75.458631
0.010162,189,75.602249
0.000793,600,76.110913
0.237061,423,76.461046
0.001275,600,76.9687
0.001133,600,77.403535
0.170006,382,77.664837
0.290622,379,77.943176
0.001072,600,78.368104
0.169813,332,78.621409
0.413892,423,78.903653
0.009948,184,79.025329
0.000531,600,79.432617
0.000574,600,79.848375
0.000445,600,80.253796
0.451068,507,80.601867
0.202644,396,80.889098
0.396789,367,81.149952
0.000515,600,81.561405
0.066111,348,81.791748
0.508282,357,83.477795
0.00041,600,83.936568
0.00075,600,84.349477
0.436646,518,84.735952
0.002777,600,85.11744
0.635821,474,85.454537
0.000844,600,85.8605
0.004388,253,86.033037
0.000534,600,86.424975
0.008397,185,86.555136
0.097772,233,86.712715
0.001154,600,87.129599
0.700482,550,87.734236
0.000666,600,88.814012
0.027453,225,89.040367
0.259742,401,89.337641
0.326513,331,89.59197
0.000538,600,90.042816
0.502975,371,90.330714
0.000776,600,90.799461
0.000418,600,91.307609
0.075789,265,92.714916
0.065596,302,92.95877
0.308868,507,93.377649
0.336244,425,93.779123
0.000591,600,94.295524
0.259571,316,94.516917
0.000476,600,94.931858
0.000513,600,95.338348
0.459889,438,95.676463
0.000458,600,96.070413
0.151941,347,96.29786
0.020886,204,96.427982
0.407574,503,96.755106
0.462352,350,96.998455
0.320703,501,97.340134
0.289501,600,97.732602
0.293401,363,97.986905
0.287164,393,98.235747
0.000673,600,98.654677
0.000555,600,99.07007
0.329467,333,99.279509
0.000592,600,101.122962
0.08293,247,101.292508
0.493653,284,101.488495
0.003956,180,101.610168
0.169776,240,101.78171
0.003537,600,102.199629
0.317888,308,102.407082
0.135485,325,102.640473
0.317426,335,102.874847
0.012287,223,103.028436
0.000949,600,103.431358
0.25003,299,103.629831
0.2759,458,103.935525
0.000849,600,104.350445
0.001004,600,104.758375
0.294132,339,105.009703
0.010143,134,105.101966
0.306503,267,105.298945
0.461202,376,105.56025
0.000399,600,105.962725
0.196193,287,106.150222
0.008271,145,106.244969
0.000547,600,106.66684
0.18259,233,106.820946
0.003267,156,106.920678
0.004379,127,107.002497
0.330683,435,107.293697
0.292801,355,108.902423
0.191006,244,109.077995
0.001807,166,109.186663
0.256255,228,109.346237
0.501467,346,109.569641
0.074742,237,109.731209
0.242755,335,109.977103
0.293484,308,110.1885
0.241617,260,110.356655
0.001573,600,110.788027
0.167124,214,110.944645
0.264217,368,111.192984
0.415017,330,111.412357
0.044861,174,111.540053
0.428427,404,111.801862
0.261775,247,111.968419
0.205111,366,112.210283
0.246491,365,112.456231
0.329351,340,112.68462
0.337079,290,112.87611
0.404939,315,113.096518
0.262066,346,113.320919
0.185998,262,113.499039
0.237072,258,113.688492
0.218515,350,113.938861
0.000584,600,114.350944
0.381783,399,114.631156
0.351377,331,114.87056
0.001581,600,115.276392
0.01379,212,115.418015
0.305352,290,116.795909
0.151501,353,117.042758
0.617469,488,117.364403
0.2473,328,117.61329
0.353513,337,117.840704
0.437129,321,118.055315
0.360321,330,118.279714
0.200959,226,118.441319
0.385264,327,118.667677
0.027201,194,118.792345
0.193841,223,118.964389
0.239958,295,119.149892
0.387765,333,119.382945
0.244048,232,119.539112
0.090198,209,119.686735
0.324038,321,119.904167
0.237283,319,120.121585
0.264269,269,120.299617
0.206492,293,120.490615
0.220003,256,120.668141
0.285727,271,120.84866
0.000734,600,121.288079
0.027807,228,121.434731
0.20675,224,121.58732
0.238449,303,121.802773
0.360295,327,122.010233
0.004525,188,122.129916
0.452145,422,122.409166
0.480725,400,122.688421
0.439951,408,122.949233
1.044677,581,123.337201
0.325933,410,124.789341
0.208365,272,124.981339
0.002732,103,125.057645
0.336364,356,125.293077
0.611259,399,125.554377
0.427256,309,125.77375
0.382967,302,125.973258
0.262342,309,126.189676
0.000387,600,126.634956
0.454076,368,126.888785
0.892508,581,127.27227
0.231946,387,127.53756
0.001087,600,127.922539
0.003612,600,128.334964
0.000399,600,128.799229
0.275257,297,129.019639
0.289744,255,129.202151
0.249699,291,129.398134
0.318214,239,129.574703
0.366328,310,129.784104
0.403046,397,130.045916
0.031222,183,130.162604
0.302226,274,130.345118
0.508096,362,130.587468
0.007289,159,130.690193
0.309496,399,130.965963
0.442543,469,131.307557
0.351278,376,132.749658
0.288948,424,133.062332
0.312642,296,133.272804
0.000947,600,133.675726
0.360043,457,133.99338
0.36558,257,134.177923
0.000549,600,134.582478
0.496303,404,134.895969
0.000624,600,135.300906
0.384335,449,135.617059
0.442829,267,135.786606
0.208585,260,135.959145
0.333223,272,136.159208
